consommation_totale,production_totale,temperature_reelle_lissee,pseudo_rayonnement,production_photovoltaique,production_eolien,hour,dayofweek,is_weekend,temperature_normale_lissee
42286114055.0,5169151517.0,11.3,54,471963.0,2486555333.0,19,0,0,9.6
41403672134.0,5175188493.0,11.3,54,463987.0,2514712667.0,19,0,0,0.0
40646939791.0,5226286459.0,11.2,56,489642.0,2560328667.0,19,0,0,9.5
39919953604.0,5227653170.0,11.2,56,486867.0,2573167333.0,19,0,0,0.0
39514470451.0,5243507244.0,11.1,58,533995.0,2581990667.0,20,0,0,9.3
38931270027.0,5206396039.0,11.1,58,568525.0,2586470000.0,20,0,0,0.0
38535982801.0,5226349730.0,11.0,60,573528.0,2608068333.0,20,0,0,9.2
37940700999.0,5217465602.0,11.0,60,436157.0,2599874667.0,20,0,0,0.0
38703048333.0,5257195802.0,10.9,62,413783.0,2637665000.0,21,0,0,9.2
38569428620.0,5225133758.0,10.9,62,400612.0,2617586000.0,21,0,0,0.0
39842382421.0,5158518454.0,10.9,63,424064.0,2550282667.0,21,0,0,9.2
39658430961.0,5070843417.0,10.9,63,399831.0,2464946667.0,21,0,0,0.0
39552096349.0,4994981222.0,10.9,63,391956.0,2394053333.0,22,0,0,9.1
38916916506.0,4924617895.0,10.9,63,407856.0,2328712000.0,22,0,0,0.0
39247461053.0,4836517959.0,10.9,64,410257.0,2237582333.0,22,0,0,9.1
38612696389.0,4765947173.0,10.9,64,407547.0,2174922000.0,22,0,0,0.0
38651944749.0,4709337615.0,10.8,65,429147.0,2135872000.0,23,0,0,9.1
37832962094.0,4643452386.0,10.8,65,434193.0,2084473333.0,23,0,0,0.0
36611253307.0,4606120271.0,10.8,65,443540.0,2049454000.0,23,0,0,9.1
35743772150.0,4556911687.0,10.8,65,419657.0,2005330333.0,23,0,0,0.0
35843939999.0,4482960957.0,10.8,66,512106.0,1927977000.0,0,1,0,9.0
35379938160.0,4467879963.0,10.8,66,403238.0,1910119000.0,0,1,0,0.0
35382744468.0,4448597155.0,10.8,63,437799.0,1894364000.0,0,1,0,9.0
34987115571.0,4463834926.0,10.8,63,364077.0,1907188333.0,0,1,0,0.0
35306068095.0,4452185800.0,10.7,61,484552.0,1899538000.0,1,1,0,9.0
34711875359.0,4423067292.0,10.7,61,372132.0,1881569000.0,1,1,0,0.0
34359035541.0,4371165196.0,10.7,59,396918.0,1827917667.0,1,1,0,9.0
33733485637.0,4346983326.0,10.7,59,381966.0,1794541667.0,1,1,0,0.0
33688155541.0,4339920249.0,10.6,57,387477.0,1790448000.0,2,1,0,8.9
33265430570.0,4327354951.0,10.6,57,411624.0,1790915333.0,2,1,0,0.0
32933008443.0,4354012134.0,10.6,54,392115.0,1816858000.0,2,1,0,8.9
32639816849.0,4344023635.0,10.6,54,382879.0,1811653333.0,2,1,0,0.0
